DisplayIndex=0
Millinits,Brightness
3006,0
3153,0
3300,1
3448,1
3596,1
3743,1
3891,2
4040,2
4188,2
4336,2
4485,3
4634,3
4783,3
4932,3
5081,4
5231,4
5830,5
6432,6
6885,7
7491,8
8100,9
8865,10
9479,11
10251,12
10871,13
11650,14
12432,16
13179,17
14114,18
14862,19
15797,20
16733,21
17669,23
18606,24
19543,25
20481,26
21419,28
22545,29
23484,30
24612,32
25740,33
26869,35
27998,36
29129,38
30260,39
31580,41
32712,43
34034,44
35357,46
36773,48
37898,49
39303,50
40708,51
42113,53
43516,54
44919,55
46322,56
47723,58
49125,59
50805,60
52205,62
53884,63
55283,64
56960,66
58637,67
60313,69
61708,70
63383,72
65056,73
67007,75
68678,76
70349,78
72018,79
73942,81
75768,82
77597,83
79429,84
81265,85
83104,85
84946,86
87253,88
89103,89
90955,90
92811,91
95136,92
96999,93
98866,94
101203,95
103077,96
105424,97
107305,98
109661,100
111550,101
113915,102
115811,103
118185,104
120564,105
122472,106
124860,108
127254,109
129653,110
131575,111
134033,112
136692,114
138822,115
141485,116
143617,117
146283,118
148418,119
151088,120
153759,122
155898,123
158574,124
161251,125
163394,126
166074,127
168757,129
171441,130
174127,131
176815,132
179505,134
182197,135
184891,136
187587,137
190284,139
192984,140
195685,141
198388,142
201094,144
203801,145
207025,146
209881,147
212739,148
215597,149
218457,150
221318,151
224180,152
227043,153
230623,154
233489,155
236356,156
239224,157
242093,158
245681,160
248553,161
251426,162
255018,163
257894,164
260770,165
264368,166
267247,167
270848,168
273729,169
277333,170
280218,171
283825,173
286712,174
289947,175
293303,176
296664,177
300030,178
303400,179
306776,180
310156,181
313541,182
316931,183
320326,184
324577,185
327983,186
331393,187
334809,188
338230,189
341655,190
345085,191
349380,192
352821,193
356268,194
359719,195
363175,196
367501,197
370968,198
374440,199
377917,200
382269,202
385757,203
389630,204
393390,204
397150,205
400908,206
404665,207
408421,207
412175,208
415929,209
420932,210
424683,211
428433,211
432181,212
435929,213
439675,214
444668,215
448412,215
452154,216
455896,217
460882,218
464621,219
468359,219
472095,220
477075,221
480808,222
484541,223
489516,224
493246,224
496974,225
501944,226
505670,227
510636,228
514359,229
519322,230
523042,230
528001,231
531719,232
536675,233
540390,234
545775,235
549364,235
554747,236
558335,236
561922,237
567302,238
570888,238
576265,239
579850,239
585225,240
590600,241
594182,241
599554,242
603135,243
608505,243
612084,244
617452,245
621029,245
626395,246
631760,247
635335,247
640697,248
646058,249
649632,249
654991,250
660348,251
663919,251
669275,252
674629,253
678197,253
683549,254
688900,255
692467,255
