DisplayIndex=1
OSBrightness,Millinits
0,4000
1,4420
2,4985
3,5549
4,6114
5,6678
6,7243
7,7807
8,8372
9,8936
10,9501
11,10065
12,10489
13,11053
14,11618
15,12261
16,12983
17,13705
18,14427
19,15148
20,15870
21,16592
22,17314
23,17855
24,18577
25,19299
26,20021
27,20743
28,21465
29,22392
30,23417
31,24463
32,25529
33,26615
34,27722
35,28848
36,29994
37,31158
38,32342
39,33545
40,34766
41,36006
42,37264
43,38541
44,39835
45,41147
46,42476
47,43823
48,45188
49,46569
50,47968
51,49383
52,50815
53,52264
54,53729
55,55211
56,56709
57,58223
58,59753
59,61299
60,62861
61,64438
62,66031
63,67640
64,69263
65,70903
66,72557
67,74227
68,75911
69,77611
70,79325
71,81054
72,82798
73,84556
74,86329
75,88116
76,89918
77,91734
78,93564
79,95408
80,97267
81,99139
82,101025
83,102925
84,104839
85,106767
86,108708
87,110663
88,112631
89,114613
90,116608
91,118617
92,120639
93,122674
94,124722
95,126783
96,128858
97,130945
98,133046
99,135159
100,137285
101,139424
102,141576
103,143740
104,145917
105,148107
106,150309
107,152524
108,154751
109,156990
110,159242
111,161507
112,163783
113,166072
114,168373
115,170686
116,173011
117,175348
118,177697
119,180059
120,182432
121,184817
122,187214
123,189622
124,192043
125,194475
126,196919
127,199375
128,201842
129,204321
130,206811
131,209313
132,211826
133,214351
134,216887
135,219435
136,221994
137,224564
138,227146
139,229739
140,232343
141,234958
142,237584
143,240222
144,242870
145,245530
146,248200
147,250882
148,253575
149,256278
150,258993
151,261718
152,264454
153,267201
154,269959
155,272728
156,275507
157,278297
158,281098
159,283909
160,286731
161,289564
162,292407
163,295261
164,298125
165,301000
166,303885
167,306781
168,309687
169,312603
170,315530
171,318467
172,321415
173,324373
174,327341
175,330319
176,333308
177,336307
178,339316
179,342335
180,345364
181,348404
182,351453
183,354513
184,357582
185,360662
186,363752
187,366851
188,369961
189,373080
190,376210
191,379349
192,382498
193,385657
194,388826
195,392005
196,395194
197,398392
198,401600
199,404818
200,408045
201,411282
202,414529
203,417786
204,421052
205,424328
206,427613
207,430908
208,434213
209,437527
210,440851
211,444184
212,447526
213,450878
214,454240
215,457611
216,460991
217,464381
218,467780
219,471189
220,474607
221,478034
222,481471
223,484917
224,488372
225,491836
226,495310
227,498793
228,502285
229,505786
230,509297
231,512816
232,516345
233,519883
234,523430
235,526987
236,530552
237,534126
238,537710
239,541302
240,544904
241,548514
242,552134
243,555762
244,559400
245,563046
246,566702
247,570366
248,574039
249,577721
250,581412
251,585112
252,588821
253,592538
254,596265
255,600000
